月份,Total,成長率
202001,916.0,0.0
202002,9913.0,11.822052401746724
202003,21865.0,3.205689498638152
202004,30631.0,2.4009147038646237
202005,8981.0,1.2931996996506807
202006,4559.0,1.5076272130052333
202007,4933.0,2.082035534108357
202008,5677.0,2.1508210014190148
202009,6403.0,2.1278844460102166
202010,8124.0,2.268780259253475
202011,8608.0,2.0595765632693253
202012,16283.0,2.8916124535315983
202101,28893.0,2.774427316833507
202102,18834.0,1.6518533900944865
202103,15511.0,1.8235637676542422
202104,17926.0,2.1556959577074335
202105,331071.0,19.46876045966752
202106,848801.0,3.5638035345892574
202107,688712.0,1.8113939545311564
202108,649013.0,1.942357618278758
202109,693310.0,2.068252870127409
202110,572759.0,1.8261225137384431
202111,493741.0,1.862039706054379
202112,483368.0,1.978991009456375
202201,723183.0,2.4961333807782062
202202,645755.0,1.8929344301511513
202203,716992.0,2.110315831855735
202204,1461432.0,3.038282156565206
202205,2770375.0,2.8956578205486125
202206,2187476.0,1.78959563236024
202207,1394570.0,1.6375247088425198
202208,1377899.0,1.9880457775515032
202209,1665978.0,2.209071201880544
202210,1479433.0,1.8880267326459292
202211,493216.0,1.3333817753152728
